ProductionDate,BatchID,Product,MachineID,OperatorID,Shift,ProductionTime_min,Temperature_C,Humidity_pct,Pressure_kPa,Speed_units_per_min,QualityScore,DefectCount,QualityLabel
2024-07-08,B1003,A,M2,O7,Night,36.3,21.0,55.2,102.07,56.59,81.53,1,Pass
2024-06-23,B1003,A,M5,O8,Night,24.3,18.96,41.82,100.83,69.04,97.4,0,Pass
2024-02-20,B1003,A,M2,O1,Night,25.1,19.63,44.66,101.61,35.23,93.6,1,Pass
2024-12-29,B1003,B,M5,O5,Morning,33.2,22.31,43.46,101.96,69.05,91.77,1,Pass
2024-02-24,B1003,B,M3,O7,Afternoon,28.5,18.66,,101.37,62.85,92.03,0,Pass
2024-08-31,B1003,A,M2,O12,Morning,27.7,27.31,49.88,100.83,48.05,86.46,1,Pass
2024-11-15,B1004,A,M3,O4,Morning,27.2,14.08,45.39,100.87,42.8,90.0,0,Pass
2024-05-10,B1004,A,M2,O4,Night,16.0,21.03,46.27,101.61,61.46,87.43,3,Pass
2024-11-02,B1004,A,M4,O4,Morning,24.2,22.33,50.04,101.63,76.89,74.68,0,Pass
2024-05-14,B1004,B,M3,O12,Afternoon,37.1,23.52,66.22,101.07,57.26,71.69,0,Pass
2024-01-21,B1004,B,M2,O6,Night,26.8,19.25,37.63,99.2,49.77,85.22,1,Pass
2024-11-24,B1004,A,M5,O7,Night,18.6,25.4,56.76,100.27,62.3,84.48,0,Pass
2024-06-15,B1004,A,M2,O2,Night,24.0,17.82,54.72,101.8,81.85,80.6,0,Pass
2024-09-30,B1004,C,M3,O5,Morning,32.2,20.3,41.17,99.6,65.18,87.78,1,Pass
2024-03-29,B1004,A,M5,O4,Morning,32.0,23.86,64.67,102.25,66.47,80.38,1,Pass
2024-11-11,B1004,B,M4,O3,Afternoon,28.2,25.12,55.39,102.13,74.67,82.53,0,Pass
2024-01-14,B1005,A,M1,O7,Morning,25.9,17.79,44.92,101.33,65.67,100.0,0,Pass
2024-08-29,B1005,A,M5,O11,Morning,21.6,29.94,31.41,101.78,50.63,85.5,0,Pass
2024-09-21,B1005,A,M4,O12,Morning,32.2,19.31,52.29,101.72,39.07,84.02,1,Pass
2024-12-11,B1005,B,M2,O6,Night,35.0,18.06,49.55,101.21,48.94,91.73,0,Pass
2024-02-22,B1005,C,M1,O7,Afternoon,37.7,23.51,39.69,100.2,46.74,98.12,0,Pass
2024-12-05,B1005,A,M4,O5,Morning,23.3,20.96,39.56,102.07,67.91,83.48,1,Pass
2024-04-01,B1005,A,M4,O6,Afternoon,38.2,20.51,58.69,102.43,69.58,92.05,0,Pass
2024-09-20,B1005,A,M3,O5,Morning,29.7,23.79,30.44,100.33,62.11,97.41,1,Pass
2024-02-04,B1005,A,M5,O7,Morning,30.2,17.42,53.14,100.17,44.78,94.64,0,Pass
2024-07-24,B1005,A,M4,O2,Night,35.4,16.89,48.13,101.19,81.44,80.25,1,Pass
2024-03-21,B1006,A,M1,O11,Afternoon,26.8,20.21,54.97,100.8,55.01,81.94,0,Pass
2024-02-19,B1006,B,M2,O5,Night,17.0,25.23,47.06,101.42,67.24,87.28,2,Pass
2024-12-25,B1006,A,M2,O6,Morning,34.2,20.34,52.93,102.27,60.59,86.9,1,Pass
2024-01-02,B1006,A,M4,O6,Night,32.1,26.8,42.57,99.5,62.5,88.32,0,Pass
2024-02-23,B1006,C,M1,O5,Afternoon,27.8,25.6,49.51,102.57,66.82,95.43,0,Pass
2024-04-15,B1006,A,M3,O10,Afternoon,33.7,22.85,54.89,100.97,51.65,77.21,0,Pass
2024-09-16,B1006,C,M4,O7,Afternoon,35.0,23.02,51.51,101.71,75.66,72.77,2,Pass
2024-11-05,B1006,A,M5,O10,Night,20.9,22.85,53.8,101.79,41.05,83.5,4,Pass
2024-07-09,B1006,C,M2,O8,Afternoon,30.1,22.48,40.72,101.89,47.54,88.81,2,Pass
2024-08-05,B1006,B,M5,O7,Afternoon,16.3,20.9,44.09,101.35,75.51,93.66,1,Pass
2024-02-13,B1007,C,M1,O5,Night,29.3,21.25,44.27,101.54,67.08,98.67,0,Pass
2024-06-10,B1007,C,M5,O1,Night,27.8,18.79,47.24,101.53,90.48,90.28,0,Pass
2024-07-20,B1007,A,M1,O5,Afternoon,33.0,,63.59,100.8,60.82,94.0,0,Pass
2024-09-26,B1007,C,M2,O10,Afternoon,23.6,25.31,46.46,99.89,80.41,72.14,0,Pass
2024-12-16,B1007,A,M4,O2,Morning,27.5,22.47,38.56,100.32,37.71,86.41,1,Pass
2024-10-30,B1007,A,M1,O5,Morning,10.7,22.02,55.42,101.22,43.04,92.66,0,Pass
2024-09-27,B1007,A,M2,O5,Afternoon,33.3,23.2,63.47,100.67,70.75,85.51,0,Pass
2024-08-02,B1007,B,M4,O2,Night,29.5,19.51,37.39,100.67,39.12,90.26,1,Pass
2024-09-08,B1007,A,M4,O5,Night,30.5,19.0,69.73,102.74,57.63,78.58,2,Pass
2024-07-08,B1007,B,M4,O4,Morning,21.0,21.15,54.15,101.99,74.01,74.61,2,Pass
2024-10-22,B1008,B,M4,O1,Afternoon,32.4,26.1,60.34,101.1,66.01,85.42,1,Pass
2024-07-31,B1008,B,M3,O3,Morning,39.9,18.49,64.67,101.84,60.13,82.65,1,Pass
2024-07-26,B1008,C,M2,O1,Night,28.9,14.12,59.73,100.96,54.61,71.89,2,Pass
2024-08-24,B1008,A,M2,O12,Night,33.9,20.44,48.89,101.39,62.43,88.95,1,Pass
2024-12-03,B1008,A,M1,O11,Afternoon,24.8,25.43,62.18,101.65,66.93,87.07,1,Pass
2024-02-22,B1008,A,M5,O5,Night,29.5,16.8,52.55,100.97,52.07,81.37,1,Pass
2024-10-06,B1008,A,M3,O4,Afternoon,20.8,18.46,60.9,100.75,64.46,80.72,0,Pass
2024-08-04,B1008,A,M3,O7,Afternoon,34.7,22.79,62.0,102.28,72.94,87.16,0,Pass
2024-09-08,B1008,A,M3,O5,Morning,31.0,29.71,39.09,101.79,57.33,80.05,1,Pass
2024-07-06,B1008,A,M5,O10,Afternoon,22.7,17.93,57.94,99.5,60.82,81.94,1,Pass
2024-02-10,B1009,C,M1,O4,Afternoon,25.2,17.81,48.18,100.77,65.81,84.63,0,Pass
2024-06-05,B1009,B,M3,O2,Afternoon,30.4,23.02,51.38,100.67,66.62,79.08,2,Pass
2024-01-15,B1009,A,M3,O4,Morning,35.5,25.61,51.27,100.8,70.54,80.41,2,Pass
2024-10-27,B1009,B,M4,O12,Night,38.9,20.13,50.87,101.99,47.83,88.0,0,Pass
2024-03-05,B1009,A,M1,O2,Morning,29.2,17.14,65.24,101.32,53.65,87.09,0,Pass
2024-12-10,B1009,A,M5,O8,Afternoon,21.8,23.3,36.34,100.19,54.1,85.96,1,Pass
2024-11-22,B1009,B,M5,O3,Afternoon,31.4,23.84,32.78,100.99,49.15,100.0,0,Pass
2024-01-09,B1009,A,M3,O9,Afternoon,40.7,27.34,30.67,101.73,38.42,86.47,0,Pass
2024-12-09,B1009,A,M4,O4,Afternoon,20.3,23.97,60.69,101.12,20.95,87.8,0,Pass
2024-05-08,B1009,C,M5,O6,Morning,24.3,24.48,42.27,100.78,74.35,89.63,0,Pass
2024-05-15,B1010,C,M4,O10,Morning,33.7,21.21,51.32,101.56,,82.86,1,Pass
2024-03-03,B1010,B,M1,O5,Afternoon,30.9,29.32,48.85,102.59,78.8,89.8,2,Pass
2024-05-18,B1010,B,M3,O10,Afternoon,26.7,20.81,41.14,101.67,68.87,85.91,1,Pass
2024-03-21,B1010,B,M4,O1,Morning,31.3,20.16,58.51,102.34,55.13,91.93,2,Pass
2024-06-11,B1010,A,M3,O9,Afternoon,35.9,27.43,48.73,100.84,67.4,86.89,1,Pass
2024-10-15,B1010,A,M4,O1,Afternoon,29.4,17.58,47.62,101.29,65.1,77.69,2,Pass
2024-09-17,B1010,A,M5,O8,Afternoon,28.9,16.46,52.33,101.28,46.78,93.88,0,Pass
2024-08-18,B1010,A,M5,O9,Night,33.5,22.36,57.21,101.39,59.82,91.39,0,Pass
2024-02-10,B1010,B,M3,O9,Morning,28.4,21.99,40.41,101.65,48.24,96.76,0,Pass
2024-01-28,B1010,A,M1,O1,Morning,36.9,21.32,58.73,100.56,67.85,82.57,0,Pass
2024-05-14,B1011,C,M5,O2,Night,42.2,24.98,64.5,101.82,51.42,69.48,1,Fail
2024-07-19,B1011,C,M5,O12,Afternoon,24.6,19.28,35.74,100.0,58.84,100.0,0,Pass
2024-11-23,B1011,B,M1,O1,Afternoon,22.5,22.19,52.78,100.23,58.32,92.7,1,Pass
2024-09-24,B1011,B,M5,O10,Night,32.2,20.92,46.95,103.01,61.46,80.98,1,Pass
2024-02-02,B1011,C,M5,O2,Night,22.3,19.33,56.99,100.89,79.95,84.27,0,Pass
2024-02-17,B1011,A,M3,O10,Night,22.2,21.81,37.83,101.88,57.11,92.84,0,Pass
2024-03-02,B1011,B,M3,O12,Afternoon,17.7,24.56,66.29,102.66,74.62,80.91,3,Pass
2024-08-03,B1011,A,M2,O8,Afternoon,27.7,28.36,33.92,99.45,65.76,79.05,1,Pass
2024-10-19,B1011,B,M1,O5,Afternoon,29.8,23.74,47.56,102.2,77.02,91.93,2,Pass
2024-04-08,B1011,A,M2,O12,Morning,26.9,14.47,54.34,101.82,55.94,87.66,0,Pass
2024-06-20,B1012,C,M5,O11,Afternoon,38.3,21.89,43.14,102.61,68.35,88.5,0,Pass
2024-12-25,B1012,C,M1,O7,Morning,37.9,22.15,41.57,100.35,59.29,94.89,0,Pass
2024-08-01,B1012,A,M2,O2,Night,41.6,24.81,52.22,102.46,,65.25,2,Fail
2024-02-04,B1012,A,M2,O8,Afternoon,30.3,22.55,50.78,100.71,46.92,74.42,1,Pass
2024-08-14,B1012,C,M3,O11,Afternoon,37.1,25.76,50.06,102.14,66.99,88.35,0,Pass
2024-04-10,B1012,A,M5,O6,Morning,31.9,23.18,58.59,101.27,66.2,87.03,1,Pass
2024-05-10,B1012,C,M2,O8,Morning,31.3,26.68,46.06,101.92,44.46,85.09,2,Pass
2024-09-13,B1012,B,M2,O1,Morning,27.2,20.68,53.2,101.34,62.64,83.46,1,Pass
2024-01-05,B1012,A,M4,O1,Afternoon,16.4,22.43,44.93,99.83,,84.08,1,Pass
2024-08-05,B1012,A,M3,O12,Morning,33.8,24.48,41.51,98.8,59.58,91.79,0,Pass
2024-09-11,B1013,A,M2,O7,Afternoon,36.9,20.28,47.15,101.47,68.75,84.1,0,Pass
2024-12-24,B1013,B,M3,O8,Night,20.8,19.63,45.01,101.09,67.11,88.06,0,Pass
2024-10-09,B1013,A,M1,O3,Night,29.9,20.11,45.51,101.62,59.58,84.26,0,Pass
2024-07-25,B1013,B,M1,O5,Afternoon,35.9,19.75,61.65,101.1,53.87,89.46,0,Pass
2024-01-15,B1013,A,M3,O12,Morning,27.8,23.57,,102.91,72.51,84.34,2,Pass
2024-12-11,B1013,B,M3,O1,Night,37.2,16.5,43.37,101.48,65.56,91.56,0,Pass
2024-02-11,B1013,C,M5,O7,Night,29.2,17.33,50.28,100.94,43.42,79.5,1,Pass
2024-06-27,B1013,C,M2,O5,Morning,26.8,27.59,51.04,101.57,62.65,81.34,1,Pass
2024-03-03,B1013,A,M3,O8,Afternoon,37.5,19.82,38.13,100.96,46.19,94.01,0,Pass
2024-12-17,B1013,C,M4,O8,Morning,24.4,22.6,47.02,101.37,48.43,72.48,3,Pass
2024-08-18,B1014,B,M1,O9,Night,25.7,17.53,46.61,100.33,52.18,91.87,0,Pass
2024-08-28,B1014,B,M4,O7,Night,24.6,22.28,48.28,101.29,60.54,80.63,2,Pass
2024-02-21,B1014,C,M1,O11,Morning,23.1,19.84,57.26,100.92,64.49,89.32,1,Pass
2024-04-05,B1014,A,M5,O1,Night,30.9,17.31,51.37,100.4,55.09,92.97,0,Pass
2024-08-09,B1014,A,M1,O3,Afternoon,26.9,26.01,62.28,102.88,55.62,67.76,1,Fail
2024-08-18,B1014,C,M3,O8,Night,32.9,25.55,49.88,100.43,53.96,91.4,0,Pass
2024-08-24,B1014,A,M1,O3,Afternoon,19.6,21.68,67.76,101.31,72.57,76.68,0,Pass
2024-05-22,B1014,C,M5,O8,Night,23.3,25.0,45.39,100.66,25.76,88.56,0,Pass
2024-06-19,B1014,C,M3,O1,Morning,30.3,27.71,42.3,101.54,56.3,81.12,1,Pass
2024-01-29,B1014,A,M3,O5,Morning,38.8,24.26,55.47,100.28,78.54,85.94,0,Pass
2024-02-05,B1015,C,M1,O4,Morning,32.3,23.44,63.64,101.97,66.21,87.13,0,Pass
2024-01-13,B1015,A,M4,O5,Night,26.5,22.6,36.21,102.93,75.2,88.9,0,Pass
2024-06-08,B1015,B,M2,O8,Night,21.1,23.95,48.03,100.63,35.59,75.71,3,Pass
2024-11-22,B1015,B,M5,O10,Night,26.1,20.91,43.89,102.27,45.09,95.83,0,Pass
2024-07-05,B1015,C,M2,O4,Night,29.7,21.17,51.43,100.99,66.17,95.44,1,Pass
2024-08-30,B1015,A,M1,O11,Morning,15.9,23.35,50.1,102.5,78.61,90.1,0,Pass
2024-03-26,B1015,A,M1,O4,Morning,22.7,20.58,63.45,103.05,46.31,92.8,1,Pass
2024-10-10,B1015,B,M3,O3,Morning,25.6,20.9,48.92,101.11,55.35,81.02,2,Pass
2024-03-06,B1015,B,M3,O7,Morning,28.5,22.0,63.75,100.08,64.82,83.56,0,Pass
2024-06-18,B1015,B,M1,O3,Morning,29.7,25.45,46.85,102.06,42.57,79.84,0,Pass
2024-02-14,B1016,A,M4,O12,Afternoon,26.3,18.6,,101.48,66.26,76.41,0,Pass
2024-03-02,B1016,A,M3,O3,Morning,33.0,24.28,52.29,101.7,27.89,78.14,1,Pass
2024-05-13,B1016,A,M3,O11,Morning,30.7,24.38,67.3,101.03,65.91,76.01,0,Pass
2024-10-10,B1016,C,M3,O10,Morning,27.8,24.36,35.23,100.59,48.06,91.1,1,Pass
2024-01-28,B1016,A,M3,O5,Morning,33.9,19.58,38.36,102.23,54.63,94.07,0,Pass
2024-04-17,B1016,A,M3,O5,Night,33.4,16.92,68.32,101.56,67.82,84.55,0,Pass
2024-02-13,B1016,C,M1,O6,Night,21.3,23.68,42.67,100.15,65.37,100.0,0,Pass
2024-12-05,B1016,A,M1,O8,Night,29.8,22.56,43.3,101.85,59.9,80.81,2,Pass
2024-10-12,B1016,C,M5,O10,Afternoon,35.3,25.01,41.24,101.69,71.63,93.29,0,Pass
2024-11-26,B1016,B,M5,O6,Morning,36.3,19.9,61.48,101.04,39.6,86.31,0,Pass
2024-05-07,B1017,C,M2,O12,Night,32.2,24.28,37.47,102.6,62.45,87.68,1,Pass
2024-12-13,B1017,A,M2,O1,Morning,28.6,25.16,50.22,100.81,50.52,69.59,0,Fail
2024-08-18,B1017,A,M4,O8,Morning,32.5,21.71,47.34,101.16,71.02,90.15,1,Pass
2024-07-08,B1017,B,M3,O8,Morning,34.8,23.25,,101.91,68.24,74.63,0,Pass
2024-08-12,B1017,C,M1,O9,Morning,30.7,23.15,44.36,101.36,68.68,87.44,0,Pass
2024-10-09,B1017,B,M1,O9,Morning,31.4,19.54,54.15,100.19,79.74,85.3,1,Pass
2024-04-30,B1017,A,M4,O2,Morning,28.5,23.59,38.29,101.45,73.52,80.34,0,Pass
2024-04-25,B1017,B,M4,O2,Afternoon,22.0,26.87,72.74,100.97,58.11,71.24,2,Pass
2024-08-20,B1017,B,M1,O3,Morning,29.0,22.07,47.6,101.99,59.98,96.49,0,Pass
2024-09-15,B1017,B,M2,O1,Morning,25.9,17.62,50.09,101.42,67.21,87.82,1,Pass
2024-12-24,B1018,B,M2,O4,Night,26.0,19.94,66.55,101.38,61.63,87.1,0,Pass
2024-07-16,B1018,C,M4,O4,Morning,38.6,16.66,44.13,100.46,68.46,82.49,0,Pass
2024-05-16,B1018,B,M1,O9,Morning,35.7,25.87,66.67,101.12,33.24,86.84,0,Pass
2024-11-13,B1018,A,M1,O9,Night,19.8,24.29,45.89,102.08,82.57,89.87,1,Pass
2024-06-13,B1018,A,M4,O9,Morning,23.5,20.5,56.72,100.68,60.73,75.3,1,Pass
2024-08-12,B1018,A,M1,O10,Morning,27.8,17.75,44.27,101.27,40.53,96.33,0,Pass
2024-11-02,B1018,A,M4,O7,Afternoon,26.2,19.5,36.44,100.55,49.03,92.16,0,Pass
2024-08-21,B1018,A,M2,O2,Morning,31.9,20.09,54.15,100.35,34.45,84.09,0,Pass
2024-06-20,B1018,A,M1,O10,Afternoon,22.5,22.33,56.4,101.23,46.92,80.8,2,Pass
2024-05-31,B1018,A,M2,O5,Night,35.8,22.23,36.84,101.44,58.29,91.6,0,Pass
2024-11-10,B1019,A,M4,O4,Morning,29.7,26.02,46.93,102.9,78.18,73.94,1,Pass
2024-06-08,B1019,C,M5,O12,Afternoon,28.0,19.92,62.01,100.94,64.93,86.05,2,Pass
2024-04-05,B1019,C,M5,O11,Afternoon,29.9,17.48,56.0,101.26,62.79,88.96,0,Pass
2024-08-20,B1019,A,M2,O8,Morning,27.5,18.53,46.05,100.3,46.38,80.44,0,Pass
2024-06-28,B1019,C,M4,O2,Afternoon,17.8,21.93,44.02,101.79,50.11,87.87,1,Pass
2024-04-22,B1019,B,M2,O6,Morning,30.1,19.81,69.48,101.62,51.04,86.6,2,Pass
2024-11-13,B1019,A,M2,O5,Afternoon,28.1,21.12,35.53,102.49,51.53,91.47,0,Pass
2024-02-21,B1019,A,M5,O12,Morning,24.3,20.64,49.41,102.19,55.78,99.02,0,Pass
2024-09-24,B1019,B,M1,O2,Afternoon,36.6,24.97,35.35,101.58,56.69,93.41,0,Pass
2024-10-21,B1019,B,M1,O11,Morning,34.0,20.24,63.15,100.92,55.93,77.52,1,Pass
2024-04-22,B1020,B,M2,O10,Night,44.6,20.87,49.93,101.46,51.94,74.98,2,Pass
2024-04-10,B1020,A,M1,O1,Morning,35.0,24.15,51.78,101.21,61.62,98.13,0,Pass
2024-04-22,B1020,A,M1,O8,Afternoon,26.1,20.31,77.69,102.06,56.23,81.58,1,Pass
2024-03-21,B1020,A,M3,O2,Afternoon,24.6,23.27,44.07,101.96,40.85,86.15,1,Pass
2024-07-05,B1020,A,M3,O7,Afternoon,27.0,22.99,67.49,101.06,60.41,79.08,0,Pass
2024-04-22,B1020,A,M5,O9,Afternoon,26.0,22.43,46.09,100.13,58.6,81.37,0,Pass
2024-01-02,B1020,A,M5,O9,Afternoon,30.7,18.6,47.66,102.37,41.04,89.28,0,Pass
2024-05-09,B1020,C,M2,O8,Night,20.8,25.69,76.38,101.77,52.9,70.3,2,Pass
2024-08-07,B1020,C,M2,O11,Night,33.9,28.66,48.39,101.04,67.16,74.25,1,Pass
2024-02-23,B1020,A,M2,O12,Morning,30.5,22.03,36.26,101.73,46.36,95.03,0,Pass
2024-12-08,B1021,C,M3,O10,Afternoon,33.2,18.86,52.82,101.36,45.09,84.39,1,Pass
2024-08-11,B1021,A,M2,O9,Night,23.1,22.09,48.27,102.35,56.1,91.35,0,Pass
2024-08-12,B1021,A,M4,O2,Night,31.5,24.97,53.67,99.76,67.48,70.5,3,Pass
2024-05-05,B1021,A,M3,O6,Night,37.8,20.15,48.66,100.98,81.72,88.63,0,Pass
2024-05-09,B1021,B,M3,O4,Morning,24.8,21.61,72.16,102.58,67.91,80.51,2,Pass
2024-02-22,B1021,C,M3,O4,Morning,24.7,23.02,55.57,101.75,73.02,81.95,0,Pass
2024-06-20,B1021,B,M2,O5,Afternoon,34.3,25.61,39.25,102.72,64.16,85.86,0,Pass
2024-08-05,B1021,A,M5,O12,Afternoon,24.2,24.33,51.25,100.32,51.78,83.46,0,Pass
2024-06-08,B1021,B,M4,O3,Afternoon,28.6,24.45,42.0,102.16,67.82,72.69,2,Pass
2024-07-16,B1021,A,M1,O1,Afternoon,38.9,20.72,47.52,102.11,58.97,88.33,1,Pass
2024-09-03,B1022,C,M5,O8,Night,24.8,23.21,40.9,99.95,64.52,86.72,0,Pass
2024-11-19,B1022,B,M3,O5,Morning,39.3,19.83,71.07,101.06,48.65,80.11,3,Pass
2024-07-21,B1022,A,M5,O3,Night,28.0,24.54,43.09,101.21,65.6,81.53,1,Pass
2024-07-02,B1022,B,M4,O10,Afternoon,23.3,25.45,56.88,100.0,58.55,82.84,2,Pass
2024-05-02,B1022,B,M3,O7,Morning,33.6,23.66,46.77,101.08,62.78,82.61,1,Pass
2024-09-11,B1022,A,M1,O7,Afternoon,30.6,20.9,38.42,102.0,58.98,97.36,0,Pass
2024-10-20,B1022,B,M2,O1,Night,30.1,21.39,51.98,100.99,56.67,76.07,1,Pass
2024-10-06,B1022,A,M3,O12,Morning,25.4,27.42,54.01,101.49,65.82,76.15,1,Pass
2024-11-20,B1022,B,M4,O9,Morning,30.6,20.95,55.59,101.5,55.13,79.04,1,Pass
2024-04-07,B1022,C,M2,O2,Night,17.6,25.15,23.78,101.29,40.94,74.83,0,Pass
2024-07-16,B1023,C,M1,O5,Morning,31.3,23.02,37.65,100.74,37.51,100.0,0,Pass
2024-08-27,B1023,B,M5,O5,Afternoon,37.8,21.0,59.58,101.83,62.21,78.63,3,Pass
2024-05-23,B1023,B,M5,O8,Afternoon,19.4,17.97,40.76,100.03,54.63,93.84,0,Pass
2024-04-06,B1023,A,M3,O8,Afternoon,27.6,22.63,52.03,101.31,39.25,80.76,0,Pass
2024-07-19,B1023,B,M1,O7,Afternoon,24.8,22.27,37.42,102.41,61.28,94.88,0,Pass
2024-05-03,B1023,A,M2,O7,Morning,20.9,27.42,57.32,100.94,58.87,71.6,1,Pass
2024-07-05,B1023,A,M1,O12,Afternoon,17.7,19.42,59.31,100.72,54.0,79.17,1,Pass
2024-11-21,B1023,A,M5,O11,Morning,22.9,28.88,57.32,101.88,62.96,82.14,0,Pass
2024-12-14,B1023,A,M1,O6,Afternoon,28.5,23.14,60.33,101.43,75.78,74.38,1,Pass
2024-09-15,B1023,B,M3,O6,Morning,36.9,23.13,65.64,101.9,75.42,71.97,0,Pass
2024-05-27,B1024,A,M2,O11,Afternoon,20.9,20.22,38.26,101.33,61.73,85.65,0,Pass
2024-09-08,B1024,B,M3,O9,Morning,31.8,22.94,42.11,99.39,58.98,88.46,0,Pass
2024-12-11,B1024,A,M4,O6,Morning,31.3,23.42,58.98,102.24,61.89,77.15,1,Pass
2024-05-26,B1024,A,M5,O12,Morning,40.0,24.81,61.3,102.96,63.71,86.84,0,Pass
2024-05-27,B1024,B,M2,O2,Morning,33.4,,43.26,102.33,,88.75,0,Pass
2024-12-17,B1024,A,M1,O2,Night,33.8,26.22,42.56,98.47,62.09,91.65,1,Pass
2024-07-17,B1024,A,M1,O5,Morning,34.2,23.08,43.48,101.66,41.12,100.0,0,Pass
2024-11-03,B1024,B,M5,O4,Night,24.5,,33.95,100.93,60.98,82.96,4,Pass
2024-05-07,B1024,A,M5,O11,Night,26.6,21.34,37.29,100.43,65.72,86.96,0,Pass
2024-02-08,B1024,C,M3,O2,Afternoon,36.7,19.22,37.53,101.4,54.12,99.25,0,Pass
2024-12-03,B1025,A,M4,O3,Morning,17.7,22.22,47.06,101.18,58.85,84.41,0,Pass
2024-12-25,B1025,A,M4,O7,Morning,25.9,22.56,52.71,101.71,46.66,93.7,2,Pass
2024-05-08,B1025,B,M1,O8,Night,22.0,17.84,54.33,101.35,45.0,82.52,0,Pass
2024-09-23,B1025,A,M5,O12,Morning,31.4,24.38,44.91,100.4,62.53,82.73,2,Pass
2024-05-30,B1025,A,M3,O6,Morning,27.5,24.99,45.16,100.84,51.25,86.84,1,Pass
2024-10-24,B1025,A,M2,O11,Afternoon,33.8,19.81,51.24,100.71,38.68,83.78,0,Pass
2024-04-08,B1025,A,M3,O5,Night,29.3,18.93,35.04,99.93,46.66,97.52,0,Pass
2024-09-19,B1025,C,M1,O1,Night,20.7,21.09,59.59,100.2,48.4,82.25,1,Pass
2024-09-08,B1025,A,M1,O8,Morning,21.0,22.07,62.85,101.13,69.29,85.36,0,Pass
